Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Bytes/s,Flow Packets/s,Label,Src IP,Dst IP,JA3,Timestamp
171958,1,9,3966,219,Benign,185.143.223.12,10.1.1.2,abcd1234ef567890,2026-02-21 19:23:10.690730
196867,17,15,5918,106,Benign,192.168.1.10,10.1.1.2,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:23:15.690730
181932,12,3,2322,217,Benign,45.67.89.10,10.1.1.3,abcd1234ef567890,2026-02-21 19:23:20.690730
415838,15,2,2892,146,Benign,185.143.223.12,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:23:25.690730
309178,1,2,9989,193,Benign,185.143.223.12,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:23:30.690730
169879,14,3,4163,85,Benign,185.143.223.12,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:23:35.690730
160268,6,18,1624,296,Benign,192.168.1.10,10.1.1.3,72a589da586844d7f0818ce684948eea,2026-02-21 19:23:40.690730
257892,5,14,8324,151,Benign,10.0.0.5,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:23:45.690730
104886,11,18,6298,246,Benign,192.168.1.10,10.1.1.3,72a589da586844d7f0818ce684948eea,2026-02-21 19:23:50.690730
187337,4,10,4125,34,Benign,10.0.0.5,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:23:55.690730
480410,13,2,2666,299,Benign,185.143.223.12,10.1.1.2,abcd1234ef567890,2026-02-21 19:24:00.690730
137498,11,1,2903,76,Benign,185.143.223.12,10.1.1.3,72a589da586844d7f0818ce684948eea,2026-02-21 19:24:05.690730
424871,3,4,3809,259,Benign,45.67.89.10,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:24:10.690730
438468,1,14,6255,127,Benign,10.0.0.5,10.1.1.3,72a589da586844d7f0818ce684948eea,2026-02-21 19:24:15.690730
225203,6,1,819,82,Benign,185.143.223.12,10.1.1.3,abcd1234ef567890,2026-02-21 19:24:20.690730
241335,18,14,6616,291,Benign,192.168.1.20,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:24:25.690730
328167,10,16,4679,19,Benign,45.67.89.10,10.1.1.2,abcd1234ef567890,2026-02-21 19:24:30.690730
91090,5,14,1072,220,Benign,192.168.1.10,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:24:35.690730
379365,10,3,3818,161,Benign,45.67.89.10,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:24:40.690730
114820,12,3,7495,14,Benign,192.168.1.20,10.1.1.2,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:24:45.690730
312913,2,9,4502,204,Benign,10.0.0.5,10.1.1.3,abcd1234ef567890,2026-02-21 19:24:50.690730
371879,13,6,4652,292,Benign,192.168.1.10,10.1.1.3,72a589da586844d7f0818ce684948eea,2026-02-21 19:24:55.690730
244027,8,13,2307,122,Benign,192.168.1.10,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:25:00.690730
377069,2,2,4526,280,Benign,10.0.0.5,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:25:05.690730
302709,1,8,7019,172,Benign,45.67.89.10,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:25:10.690730
249041,5,2,8935,114,Benign,185.143.223.12,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:25:15.690730
317455,9,4,8486,190,Benign,45.67.89.10,10.1.1.2,abcd1234ef567890,2026-02-21 19:25:20.690730
153355,17,15,8780,53,Benign,192.168.1.20,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:25:25.690730
285796,9,4,2304,291,Benign,185.143.223.12,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:25:30.690730
264176,11,13,5445,184,Benign,45.67.89.10,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:25:35.690730
234779,15,12,3376,171,Benign,10.0.0.5,10.1.1.1,abcd1234ef567890,2026-02-21 19:25:40.690730
397449,6,13,1202,149,Benign,192.168.1.20,10.1.1.2,abcd1234ef567890,2026-02-21 19:25:45.690730
471909,3,14,5343,141,Benign,192.168.1.20,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:25:50.690730
308795,17,18,6714,96,Benign,192.168.1.20,10.1.1.1,abcd1234ef567890,2026-02-21 19:25:55.690730
442752,5,6,9533,185,Benign,185.143.223.12,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:26:00.690730
206730,12,11,8807,192,Benign,192.168.1.10,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:26:05.690730
396622,18,2,5323,138,Benign,185.143.223.12,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:26:10.690730
434681,14,19,8684,255,Benign,45.67.89.10,10.1.1.2,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:26:15.690730
199503,11,19,730,98,Benign,192.168.1.10,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:26:20.690730
180523,9,5,9271,75,Benign,45.67.89.10,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:26:25.690730
52747,2,19,6783,167,Benign,192.168.1.10,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:26:30.690730
173855,12,2,377,158,Benign,185.143.223.12,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:26:35.690730
115725,3,10,332,125,Benign,192.168.1.20,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:26:40.690730
179981,3,2,9844,223,Benign,10.0.0.5,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:26:45.690730
134654,1,11,5790,262,Benign,192.168.1.20,10.1.1.3,abcd1234ef567890,2026-02-21 19:26:50.690730
478989,8,18,7759,152,Benign,185.143.223.12,10.1.1.2,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:26:55.690730
431490,8,15,125,259,Benign,192.168.1.10,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:27:00.690730
117435,11,9,7568,34,Benign,192.168.1.20,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:27:05.690730
369030,9,19,6510,286,Benign,185.143.223.12,10.1.1.3,72a589da586844d7f0818ce684948eea,2026-02-21 19:27:10.690730
378947,5,9,8752,79,Benign,45.67.89.10,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:27:15.690730
81551,14,3,3864,122,Benign,10.0.0.5,10.1.1.2,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:27:20.690730
428360,3,9,6699,121,Benign,192.168.1.20,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:27:25.690730
323538,5,14,5202,100,Benign,192.168.1.10,10.1.1.1,abcd1234ef567890,2026-02-21 19:27:30.690730
381236,5,19,7106,27,Benign,45.67.89.10,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:27:35.690730
